"","UID","Tot_Pop","UCentre_Pop","UCluster_Pop","Rural_Pop","UCentre_share","UCluster_share","Rural_share","flexurba_L1"
"1",17483,15987.1342875276,0,8713.77864091331,7273.35564661433,0,0.545049443145753,0.454950556854247,"2"
"2",17484,20187.8898989677,0,19793.5795593052,394.310339662479,0,0.980467976512858,0.0195320234871423,"2"
"3",17485,116269.371533301,66121.4928374232,48385.825353709,1762.05334216915,0.568692270074626,0.416152807189214,0.0151549227361607,"3"
"4",17486,11024.0548096175,0,63.1262455489486,10960.9285640685,0,0.00572622747610769,0.994273772523892,"1"
"5",17487,13901.7632390574,0,10680.2814654852,3221.48177357216,0,0.768268116916182,0.231731883083818,"2"
"6",17488,34227.9953599882,0,32460.1613684255,1767.83399156271,0,0.948351226153628,0.0516487738463724,"2"
"7",17489,23943.1193296226,0,16895.7904460682,7047.32888355444,0,0.705663711292813,0.294336288707187,"2"
"8",17490,21228.3322917018,0,19561.4916243071,1666.84066739469,0,0.921480376108195,0.0785196238918052,"2"
"9",17491,22405.4778401096,0,15041.7075233059,7363.77031680371,0,0.67134062619181,0.32865937380819,"2"
"10",17492,2761.85742806148,0,182.184710998088,2579.6727170634,0,0.0659645603524008,0.934035439647599,"1"
"11",17493,17148.9395849837,0,0,17148.9395849837,0,0,1,"1"
"12",17494,10306.4219479345,0,0,10306.4219479345,0,0,1,"1"
"13",17495,8945.46929040295,0,5286.79043722805,3658.6788531749,0,0.591002021872673,0.408997978127327,"2"
"14",17496,12549.4972701718,0,1.32612490653992,12548.1711452652,0,0.000105671556237708,0.999894328443762,"1"
"15",17497,3413.36404404696,0,0,3413.36404404696,0,0,1,"1"
"16",17498,7948.92916266446,0,95.6726579568349,7853.25650470762,0,0.0120359177945883,0.987964082205412,"1"
"17",17499,35653.1144169781,0,23466.1469532507,12186.9674637273,0,0.658179442020249,0.341820557979751,"2"
"18",17500,8267.51138501405,0,0,8267.51138501405,0,0,1,"1"
"19",17501,1024.08130748314,0,0,1024.08130748314,0,0,1,"1"
"20",17502,20483.3746466199,0,12372.3028427791,8111.07180384081,0,0.604016821262444,0.395983178737556,"2"
"21",17503,3762.15377975814,0,0,3762.15377975814,0,0,1,"1"
"22",17504,18971.5117637153,0,17320.3006222937,1651.21114142158,0,0.912963649814156,0.0870363501858436,"2"
"23",17505,12856.9214873172,0,11.2134269718081,12845.7080603454,0,0.00087217044786885,0.999127829552131,"1"
"24",17506,14792.8656960902,0,11886.621673391,2906.24402269919,0,0.80353745633834,0.19646254366166,"2"
"25",17507,10045.2037427142,0,8815.27986990334,1229.9238728109,0,0.877561082451616,0.122438917548384,"2"
"26",17508,11912.6026042162,0,11468.846718624,443.755885592196,0,0.962749039791259,0.0372509602087405,"2"
"27",17509,27898.2462348623,0,27783.4557600702,114.790474792011,0,0.995885387424512,0.0041146125754875,"2"
"28",17510,75108.4157349904,186.764542798512,73881.9351415088,1039.71605068306,0.00248659941726749,0.983670530372934,0.0138428702097984,"2"
"29",17511,13433.6358891807,0,13433.6358891807,0,0,1,0,"2"
"30",17512,5942.65767377906,0,5700.22453077568,242.433143003378,0,0.959204592236051,0.0407954077639491,"2"
"31",17513,33229.106721373,174.711780786514,32690.1165131925,364.278427393991,0.005257793483631,0.983779575758688,0.0109626307576811,"2"
"32",17514,2206.79777306458,0,991.870408713818,1214.92736435076,0,0.449461396427099,0.550538603572901,"1"
"33",17515,38283.8743981702,0,37638.9209991372,644.953399032936,0,0.983153392670629,0.0168466073293711,"2"
"34",17516,30899.1758433542,0,30266.4807470333,632.695096320938,0,0.979523884406224,0.0204761155937762,"2"
"35",17517,24977.6352226661,0,20842.349874975,4135.28534769104,0,0.834440478018573,0.165559521981427,"2"
"36",17518,17622.5421329057,14012.0414079214,3411.20637929905,199.294345685281,0.795120323858235,0.193570618448372,0.0113090576933931,"3"
"37",17519,12976.6558552825,0,11742.9087624697,1233.74709281285,0,0.90492565214245,0.0950743478575503,"2"
"38",17520,12373.162735339,0,9279.61622371338,3093.54651162564,0,0.749979323977519,0.250020676022481,"2"
"39",17521,14531.8691841089,0,5844.32758026943,8687.54160383949,0,0.402173148287104,0.597826851712896,"1"
"40",17522,20216.4209637959,0,16714.5973086457,3501.82365515013,0,0.826783204533518,0.173216795466482,"2"
"41",17523,71025.6175004811,66736.8936472875,3868.80047148396,419.92338170961,0.939617225388227,0.0544704939940544,0.00591228061771889,"3"
"42",17524,9599.88517363998,0,7558.53840862564,2041.34676501434,0,0.787357168539931,0.212642831460069,"2"
"43",17525,10479.3952102186,0,7176.20333128516,3303.19187893346,0,0.684791744879278,0.315208255120722,"2"
"44",17526,11141.8784083142,0,10987.3647138677,154.513694446534,0,0.98613216831273,0.0138678316872704,"2"
